CH1_pk98,CH1_p2p99,CH1_eng,CH1_posmean,CH2_pk98,CH2_p2p99,CH2_eng,CH2_posmean,CH3_pk98,CH3_p2p99,CH3_eng,CH3_posmean,CH4_pk98,CH4_p2p99,CH4_eng,CH4_posmean,CH5_pk98,CH5_p2p99,CH5_eng,CH5_posmean,CH1_pk98_norm,CH2_pk98_norm,CH3_pk98_norm,CH4_pk98_norm,CH5_pk98_norm,force_peak,channel_tapped
17.75999999999999,31.0,56.34272300469483,3.948356807511737,14.759999999999991,28.0,46.87323943661972,2.9061032863849765,13.0,26.759999999999998,37.29577464788732,3.131455399061033,10.0,22.0,29.11737089201878,2.4413145539906105,37.0,66.51999999999998,245.4882629107981,8.408450704225352,0.19195849546043886,0.1595330739299593,0.1405101599654114,0.10808473843493184,0.39991353220924786,12116.699999999997,5
19.75999999999999,32.75999999999999,62.91079812206573,3.9859154929577465,18.799999999999955,37.879999999999995,56.15492957746479,3.5868544600938965,14.0,27.759999999999994,39.53521126760563,2.7417840375586855,12.0,23.88,33.610328638497656,3.07981220657277,37.539999999999964,58.64,242.44718309859155,9.049295774647888,0.19353574926542425,0.18413320274240733,0.13712047012732495,0.11753183153770709,0.36767874632712666,11585.699999999997,5
17.0,35.27999999999998,53.85446009389671,3.0704225352112675,19.0,34.75999999999999,52.81220657276995,3.356807511737089,12.0,24.0,35.21596244131455,2.460093896713615,11.0,21.0,28.600938967136152,2.1549295774647885,37.25999999999999,63.639999999999986,229.74295774647888,7.070422535211268,0.17660502804903205,0.1973820901724476,0.12466237274049322,0.11427384167878545,0.38707666735923135,11720.699999999997,5
19.519999999999982,38.27999999999998,61.586854460093896,4.023474178403756,16.75999999999999,31.879999999999995,46.051643192488264,2.6948356807511735,12.759999999999991,29.879999999999995,40.671361502347416,2.8262910798122065,11.759999999999991,25.879999999999995,32.04225352112676,2.4178403755868545,42.27999999999997,68.75999999999999,281.77464788732397,9.854460093896714,0.18936748156771252,0.16259216142801552,0.12378734963135309,0.11408614668218749,0.4101668606907217,11755.699999999997,5
18.5,30.0,56.38145539906103,3.8497652582159625,16.5,35.75999999999999,55.42370892018779,2.784037558685446,11.519999999999982,28.879999999999995,35.44131455399061,2.215962441314554,11.0,23.88,28.7981220657277,2.408450704225352,38.75999999999999,61.879999999999995,258.07511737089203,9.300469483568076,0.1921479019526362,0.17137515579559445,0.11965101786456031,0.11425010386372964,0.4025758205234691,11993.699999999997,5
16.75999999999999,28.88,47.497652582159624,3.6901408450704225,15.0,32.639999999999986,46.093896713615024,2.76056338028169,10.5,21.879999999999995,29.818075117370892,2.779342723004695,8.759999999999991,20.879999999999995,25.685446009389672,1.8544600938967135,37.51999999999998,61.879999999999995,220.03286384976525,7.863849765258216,0.1892929749265847,0.16941495369324416,0.1185904675852709,0.09893833295685449,0.4237632708380345,11834.699999999997,5
16.75999999999999,32.0,50.375586854460096,3.267605633802817,17.75999999999999,34.879999999999995,52.647887323943664,2.976525821596244,12.0,28.0,35.666666666666664,2.544600938967136,11.0,24.879999999999995,30.863849765258216,2.2582159624413145,36.0,60.879999999999995,234.71361502347418,8.12206572769953,0.17921300256629402,0.1899059024807507,0.12831479897348028,0.11762189905902358,0.3849443969204408,11558.699999999997,5
19.75999999999999,32.75999999999999,54.647887323943664,3.892018779342723,18.019999999999982,33.0,50.37206572769953,2.7535211267605635,13.0,26.759999999999994,38.46948356807512,3.295774647887324,10.759999999999991,24.639999999999993,33.96244131455399,2.5868544600938965,41.0,66.51999999999998,250.12206572769952,8.366197183098592,0.19270528574214751,0.17573629803003524,0.1267797932514129,0.10493465964501551,0.3998439633313791,12041.699999999997,5
17.0,32.639999999999986,56.71830985915493,3.539906103286385,16.75999999999999,34.75999999999999,52.098591549295776,2.92018779342723,14.519999999999982,26.0,36.83098591549296,2.6619718309859155,10.0,21.0,28.375586854460092,2.2253521126760565,34.75999999999999,60.879999999999995,235.29107981220656,7.154929577464789,0.1827171109200325,0.1801375752364555,0.15606190885640403,0.10748065348237207,0.3736027515047252,12036.699999999997,5
18.25999999999999,32.639999999999986,53.16079812206573,3.455399061032864,17.75999999999999,34.879999999999995,51.72769953051643,2.784037558685446,12.759999999999991,25.88,34.586854460093896,2.436619718309859,10.0,23.759999999999994,28.323943661971832,2.2347417840375585,31.75999999999999,61.75999999999999,228.75586854460093,6.300469483568075,0.20167881599292906,0.19615639496354983,0.14093218466975763,0.11044842058758443,0.35078418378616805,11548.699999999997,5
